agent_code,year_month_date,predicted,is_predicted_nill,performance_category
003c1999,2023-01-01,0,No,Low
003c1999,2023-02-01,0,No,High
003c1999,2023-03-01,0,No,High
003c1999,2023-04-01,0,No,Medium
003c1999,2023-05-01,0,No,Medium
003c1999,2023-06-01,0,No,Low
003c1999,2023-07-01,0,No,Low
003c1999,2023-08-01,0,No,High
003c1999,2023-09-01,0,No,High
003c1999,2023-10-01,0,No,High
003c1999,2023-11-01,0,No,Medium
003c1999,2023-12-01,0,No,High
003c1999,2024-01-01,0,No,Medium
003c1999,2024-02-01,0,No,High
003c1999,2024-03-01,0,No,Low
003c1999,2024-04-01,0,No,Medium
003c1999,2024-05-01,0,No,High
003c1999,2024-06-01,0,No,Medium
003c1999,2024-07-01,0,No,High
003c1999,2024-08-01,0,No,Medium
00d5bda3,2023-01-01,0,No,Medium
00d5bda3,2023-02-01,0,No,Medium
00d5bda3,2023-03-01,0,No,Low
00d5bda3,2023-04-01,0,No,Low
00d5bda3,2023-05-01,0,No,High
00d5bda3,2023-06-01,0,No,High
00d5bda3,2023-07-01,0,No,High
00d5bda3,2023-08-01,0,No,High
00d5bda3,2023-09-01,0,No,High
00d5bda3,2023-10-01,0,No,High
00d5bda3,2023-11-01,0,No,Low
00d5bda3,2023-12-01,0,No,High
00d5bda3,2024-01-01,0,No,High
00d5bda3,2024-02-01,0,No,High
00d5bda3,2024-03-01,0,No,Medium
00d5bda3,2024-04-01,0,No,Medium
00d5bda3,2024-05-01,0,No,Low
00d5bda3,2024-06-01,0,No,Medium
00d5bda3,2024-07-01,0,No,Medium
00d5bda3,2024-08-01,0,No,Low
012a3553,2023-01-01,0,No,Low
012a3553,2023-02-01,0,No,Medium
012a3553,2023-03-01,0,No,Low
012a3553,2023-04-01,0,No,High
012a3553,2023-05-01,0,No,Low
012a3553,2023-06-01,0,No,Low
012a3553,2023-07-01,0,No,Medium
012a3553,2023-08-01,0,No,High
012a3553,2023-09-01,0,No,Medium
012a3553,2023-10-01,0,No,High
012a3553,2023-11-01,0,No,Medium
012a3553,2023-12-01,0,No,Medium
012a3553,2024-01-01,0,No,Low
012a3553,2024-02-01,0,No,Low
012a3553,2024-03-01,0,No,High
012a3553,2024-04-01,0,No,Low
012a3553,2024-05-01,0,No,Low
012a3553,2024-06-01,0,No,Low
012a3553,2024-07-01,0,No,High
012a3553,2024-08-01,0,No,High
012f0e15,2023-01-01,0,No,Medium
012f0e15,2023-02-01,0,No,High
012f0e15,2023-03-01,0,No,Medium
012f0e15,2023-04-01,0,No,Low
012f0e15,2023-05-01,0,No,High
012f0e15,2023-06-01,0,No,Medium
012f0e15,2023-07-01,0,No,Low
012f0e15,2023-08-01,0,No,Low
012f0e15,2023-09-01,0,No,Low
012f0e15,2023-10-01,0,No,Medium
012f0e15,2023-11-01,0,No,Medium
012f0e15,2023-12-01,0,No,High
012f0e15,2024-01-01,0,No,Medium
012f0e15,2024-02-01,0,No,Low
012f0e15,2024-03-01,0,No,Low
012f0e15,2024-04-01,0,No,Medium
012f0e15,2024-05-01,0,No,High
012f0e15,2024-06-01,0,No,High
012f0e15,2024-07-01,0,No,Medium
012f0e15,2024-08-01,0,No,High
0177ed5f,2023-01-01,0,No,Low
0177ed5f,2023-02-01,0,No,High
0177ed5f,2023-03-01,0,No,Medium
0177ed5f,2023-04-01,0,No,High
0177ed5f,2023-05-01,0,No,Medium
0177ed5f,2023-06-01,0,No,Medium
0177ed5f,2023-07-01,0,No,High
0177ed5f,2023-08-01,0,No,Low
0177ed5f,2023-09-01,0,No,Medium
0177ed5f,2023-10-01,0,No,Medium
0177ed5f,2023-11-01,0,No,Low
0177ed5f,2023-12-01,0,No,Medium
0177ed5f,2024-01-01,0,No,Medium
0177ed5f,2024-02-01,0,No,Medium
0177ed5f,2024-03-01,0,No,High
0177ed5f,2024-04-01,0,No,High
0177ed5f,2024-05-01,0,No,Medium
0177ed5f,2024-06-01,0,No,Low
0177ed5f,2024-07-01,0,No,Medium
0177ed5f,2024-08-01,0,No,High
01a4ff82,2023-01-01,0,No,Medium
01a4ff82,2023-02-01,0,No,Low
01a4ff82,2023-03-01,0,No,Medium
01a4ff82,2023-04-01,0,No,Medium
01a4ff82,2023-05-01,0,No,High
01a4ff82,2023-06-01,0,No,Low
01a4ff82,2023-07-01,0,No,Medium
01a4ff82,2023-08-01,0,No,High
01a4ff82,2023-09-01,0,No,Low
01a4ff82,2023-10-01,0,No,Medium
01a4ff82,2023-11-01,0,No,Medium
01a4ff82,2023-12-01,0,No,High
01a4ff82,2024-01-01,0,No,Medium
01a4ff82,2024-02-01,0,No,Low
01a4ff82,2024-03-01,0,No,Low
01a4ff82,2024-04-01,0,No,Low
01a4ff82,2024-05-01,0,No,High
01a4ff82,2024-06-01,0,No,Medium
01a4ff82,2024-07-01,0,No,Low
01a4ff82,2024-08-01,0,No,High
01b0edf6,2024-05-01,0,No,Low
01b0edf6,2024-06-01,0,No,Low
01b0edf6,2024-07-01,0,No,Low
01b0edf6,2024-08-01,0,No,Low
01c0860d,2023-12-01,0,No,High
01c0860d,2024-01-01,0,No,High
01c0860d,2024-02-01,0,No,Low
01c0860d,2024-03-01,0,No,Low
01c0860d,2024-04-01,0,No,Medium
01c0860d,2024-05-01,0,No,Medium
01c0860d,2024-06-01,0,No,Low
01c0860d,2024-07-01,0,No,Medium
01c0860d,2024-08-01,0,No,Medium
01c63d8e,2023-01-01,0,No,High
01c63d8e,2023-02-01,0,No,High
01c63d8e,2023-03-01,0,No,Medium
01c63d8e,2023-04-01,0,No,Medium
01c63d8e,2023-05-01,0,No,Medium
01c63d8e,2023-06-01,0,No,Low
01c63d8e,2023-07-01,0,No,High
01c63d8e,2023-08-01,0,No,Low
01c63d8e,2023-09-01,0,No,Low
01c63d8e,2023-10-01,0,No,High
01c63d8e,2023-11-01,0,No,Low
01c63d8e,2023-12-01,0,No,Low
01c63d8e,2024-01-01,0,No,Low
01c63d8e,2024-02-01,0,No,Medium
01c63d8e,2024-03-01,0,No,High
01c63d8e,2024-04-01,0,No,Medium
01c63d8e,2024-05-01,0,No,High
01c63d8e,2024-06-01,0,No,High
01c63d8e,2024-07-01,0,No,High
01c63d8e,2024-08-01,0,No,Medium
01cf7b40,2023-03-01,0,No,Low
01cf7b40,2023-04-01,0,No,Medium
01cf7b40,2023-05-01,0,No,High
01cf7b40,2023-06-01,0,No,Medium
01cf7b40,2023-07-01,0,No,Low
01cf7b40,2023-08-01,0,No,Medium
01cf7b40,2023-09-01,0,No,Medium
01cf7b40,2023-10-01,0,No,Low
01cf7b40,2023-11-01,0,No,Medium
01cf7b40,2023-12-01,0,No,Medium
01cf7b40,2024-01-01,0,No,High
01cf7b40,2024-02-01,0,No,High
01cf7b40,2024-03-01,0,No,High
01cf7b40,2024-04-01,0,No,Medium
01cf7b40,2024-05-01,0,No,High
01cf7b40,2024-06-01,0,No,High
01cf7b40,2024-07-01,0,No,Medium
01cf7b40,2024-08-01,0,No,Low
026b60ee,2023-01-01,0,No,Medium
026b60ee,2023-02-01,0,No,Low
026b60ee,2023-03-01,0,No,Low
026b60ee,2023-04-01,0,No,Medium
026b60ee,2023-05-01,0,No,Low
026b60ee,2023-06-01,0,No,Low
026b60ee,2023-07-01,0,No,High
026b60ee,2023-08-01,0,No,Medium
026b60ee,2023-09-01,0,No,High
026b60ee,2023-10-01,0,No,High
026b60ee,2023-11-01,0,No,High
026b60ee,2023-12-01,0,No,Medium
026b60ee,2024-01-01,0,No,Medium
026b60ee,2024-02-01,0,No,Medium
026b60ee,2024-03-01,0,No,High
026b60ee,2024-04-01,0,No,Low
026b60ee,2024-05-01,0,No,High
026b60ee,2024-06-01,0,No,High
026b60ee,2024-07-01,0,No,Medium
026b60ee,2024-08-01,0,No,High
026ffb43,2023-01-01,0,No,Low
026ffb43,2023-02-01,0,No,Medium
026ffb43,2023-03-01,0,No,High
026ffb43,2023-04-01,0,No,High
026ffb43,2023-05-01,0,No,Low
026ffb43,2023-06-01,0,No,Low
026ffb43,2023-07-01,0,No,Low
026ffb43,2023-08-01,0,No,Low
026ffb43,2023-09-01,0,No,High
026ffb43,2023-10-01,0,No,Medium
026ffb43,2023-11-01,0,No,Low
026ffb43,2023-12-01,0,No,Low
026ffb43,2024-01-01,0,No,High
026ffb43,2024-02-01,0,No,High
026ffb43,2024-03-01,0,No,High
026ffb43,2024-04-01,0,No,Medium
026ffb43,2024-05-01,0,No,Medium
026ffb43,2024-06-01,0,No,Medium
026ffb43,2024-07-01,0,No,Low
026ffb43,2024-08-01,0,No,Low
0279d0a7,2023-01-01,0,No,Low
0279d0a7,2023-02-01,0,No,High
0279d0a7,2023-03-01,0,No,High
0279d0a7,2023-04-01,0,No,Medium
0279d0a7,2023-05-01,0,No,Low
0279d0a7,2023-06-01,0,No,Low
0279d0a7,2023-07-01,0,No,Low
0279d0a7,2023-08-01,0,No,High
0279d0a7,2023-09-01,0,No,High
0279d0a7,2023-10-01,0,No,High
0279d0a7,2023-11-01,0,No,High
0279d0a7,2023-12-01,0,No,Medium
0279d0a7,2024-01-01,0,No,Medium
0279d0a7,2024-02-01,0,No,Low
0279d0a7,2024-03-01,0,No,Low
0279d0a7,2024-04-01,0,No,High
0279d0a7,2024-05-01,0,No,Medium
0279d0a7,2024-06-01,0,No,High
0279d0a7,2024-07-01,0,No,High
0279d0a7,2024-08-01,0,No,Low
03216cb4,2023-01-01,0,No,Low
03216cb4,2023-02-01,0,No,Low
03216cb4,2023-03-01,0,No,Low
03216cb4,2023-04-01,0,No,Medium
03216cb4,2023-05-01,0,No,Low
03216cb4,2023-06-01,0,No,Low
03216cb4,2023-07-01,0,No,Low
03216cb4,2023-08-01,0,No,High
03216cb4,2023-09-01,0,No,Low
03216cb4,2023-10-01,0,No,High
03216cb4,2023-11-01,0,No,High
03216cb4,2023-12-01,0,No,High
03216cb4,2024-01-01,0,No,Medium
03216cb4,2024-02-01,0,No,Medium
03216cb4,2024-03-01,0,No,Medium
03216cb4,2024-04-01,0,No,High
03216cb4,2024-05-01,0,No,Low
03216cb4,2024-06-01,0,No,Low
03216cb4,2024-07-01,0,No,Low
03216cb4,2024-08-01,0,No,Low
0330163d,2024-03-01,0,No,Medium
0330163d,2024-04-01,0,No,High
0330163d,2024-05-01,0,No,Medium
0330163d,2024-06-01,0,No,Low
0330163d,2024-07-01,0,No,Medium
0330163d,2024-08-01,0,No,Medium
041aede5,2023-01-01,0,No,Medium
041aede5,2023-02-01,0,No,Medium
041aede5,2023-03-01,0,No,High
041aede5,2023-04-01,0,No,Low
041aede5,2023-05-01,0,No,Medium
041aede5,2023-06-01,0,No,Low
041aede5,2023-07-01,0,No,Medium
041aede5,2023-08-01,0,No,Medium
041aede5,2023-09-01,0,No,Medium
041aede5,2023-10-01,0,No,Low
041aede5,2023-11-01,0,No,Medium
041aede5,2023-12-01,0,No,Low
041aede5,2024-01-01,0,No,Medium
041aede5,2024-02-01,0,No,High
041aede5,2024-03-01,0,No,High
041aede5,2024-04-01,0,No,Medium
041aede5,2024-05-01,0,No,Low
041aede5,2024-06-01,0,No,Medium
041aede5,2024-07-01,0,No,Medium
041aede5,2024-08-01,0,No,High
0439a5fc,2023-01-01,0,No,Medium
0439a5fc,2023-02-01,0,No,High
0439a5fc,2023-03-01,0,No,Medium
0439a5fc,2023-04-01,0,No,Low
0439a5fc,2023-05-01,0,No,Low
0439a5fc,2023-06-01,0,No,High
0439a5fc,2023-07-01,0,No,Low
0439a5fc,2023-08-01,0,No,Low
0439a5fc,2023-09-01,0,No,High
0439a5fc,2023-10-01,0,No,Medium
0439a5fc,2023-11-01,0,No,Low
0439a5fc,2023-12-01,0,No,Medium
0439a5fc,2024-01-01,0,No,High
0439a5fc,2024-02-01,0,No,Low
0439a5fc,2024-03-01,0,No,High
0439a5fc,2024-04-01,0,No,Medium
0439a5fc,2024-05-01,0,No,Low
0439a5fc,2024-06-01,0,No,Medium
0439a5fc,2024-07-01,0,No,High
0439a5fc,2024-08-01,0,No,Low
046d7894,2023-01-01,0,No,Low
046d7894,2023-02-01,0,No,Low
046d7894,2023-03-01,0,No,High
046d7894,2023-04-01,0,No,High
046d7894,2023-05-01,0,No,Low
046d7894,2023-06-01,0,No,Medium
046d7894,2023-07-01,0,No,High
046d7894,2023-08-01,0,No,Low
046d7894,2023-09-01,0,No,Medium
046d7894,2023-10-01,0,No,Medium
046d7894,2023-11-01,0,No,Medium
046d7894,2023-12-01,0,No,Low
046d7894,2024-01-01,0,No,High
046d7894,2024-02-01,0,No,Medium
046d7894,2024-03-01,0,No,High
046d7894,2024-04-01,0,No,Medium
046d7894,2024-05-01,0,No,Medium
046d7894,2024-06-01,0,No,High
046d7894,2024-07-01,0,No,Medium
046d7894,2024-08-01,0,No,Low
04cd94ce,2023-01-01,0,No,Medium
04cd94ce,2023-02-01,0,No,Low
04cd94ce,2023-03-01,0,No,Medium
04cd94ce,2023-04-01,0,No,High
04cd94ce,2023-05-01,0,No,Medium
04cd94ce,2023-06-01,0,No,Medium
04cd94ce,2023-07-01,0,No,High
04cd94ce,2023-08-01,0,No,Low
04cd94ce,2023-09-01,0,No,Medium
04cd94ce,2023-10-01,0,No,Low
04cd94ce,2023-11-01,0,No,Medium
04cd94ce,2023-12-01,0,No,Low
